"Order Returns","Order Returns"
"Create New Order Return","Create New Order Return"
"Reasons","Reasons"
"Create New Reason","Create New Reason"
"Package Conditions","Package Conditions"
"Create New Package Condition","Create New Package Condition"
"Resolutions","Resolutions"
"Create New Resolution","Create New Resolution"
"Status","Status"
"Create New Status","Create New Status"
"Name","Name"
"Enabled","Enabled"
"Sort Order","Sort Order"
"Status Information","Status Information"
"Save and Continue Edit","Save and Continue Edit"
"Edit Status '%1'","Edit Status '%1'"
"New Status","New Status"
"Package Condition","Package Condition"
"Package Condition Information","Package Condition Information"
"Delete Package Condition","Delete Package Condition"
"New Package Condition","New Package Condition"
"Edit Package Condition '%1'","Edit Package Condition '%1'"
"Reason","Reason"
"Reason Information","Reason Information"
"Delete Status","Delete Status"
"Delete Reason","Delete Reason"
"Edit Reason '%1'","Edit Reason '%1'"
"New Reason","New Reason"
"Resolution Information","Resolution Information"
"Resolution","Resolution"
"Resolution Information","Resolution Information"
"Save Resolution","Save Resolution"
"Save Status","Save Status"
"Save Reason","Save Reason"
"Save Package Condition","Save Package Condition"
"Delete Resolution","Delete Resolution"
"Edit Resolution '%1'","Edit Resolution '%1'"
"New Resolution","New Resolution"
"Please correct the data sent.","Please correct the data sent."
"Module is disabled. Please enable the module to Continue","Module is disabled. Please enable the module to Continue"
"Something went wrong while saving the Status.","Something went wrong while saving the Status."
"Something went wrong while saving the Reason.","Something went wrong while saving the Reason."
"Something went wrong while saving the Resolution.","Something went wrong while saving the Resolution."
"Something went wrong while saving the Package Condition.","Something went wrong while saving the Package Condition."
"Cannot Delete Status ID: ","Cannot Delete Status ID: "
"Cannot Delete Reason ID: ","Cannot Delete Reason ID: "
"Cannot Delete Resolution ID: ","Cannot Delete Resolution ID: "
"Cannot Delete Package Condition ID: ","Cannot Delete Package Condition ID: "
"The Status has been deleted.","The Status has been deleted."
"The Reason has been deleted.","The Reason has been deleted."
"The Resolution has been deleted.","The Resolution has been deleted."
"The Package Condition has been deleted.","The Package Condition has been deleted."
"Status to delete was not found.","Status to delete was not found."
"Reason to delete was not found.","Reason to delete was not found."
"Resolution to delete was not found.","Resolution to delete was not found."
"Package Condition to delete was not found.","Package Condition to delete was not found."
"Cannot Edit Status: ","Cannot Edit Status: "
"Cannot Edit Reason: ","Cannot Edit Reason: "
"Cannot Edit Resolution: ","Cannot Edit Resolution: "
"Cannot Edit Package Condition: ","Cannot Edit Package Condition: "
"The Status has been saved.","The Status has been saved."
"The Reason has been saved.","The Reason has been saved."
"The Resolution has been saved.","The Resolution has been saved."
"The Package Condition has been saved.","The Package Condition has been saved."
"Something went wrong"," Not able to send email to customer."
"Something went wrong while sending SMS to customer.","Something went wrong while sending SMS to customer."
"Something went wrong while saving the Order Return.","Something went wrong while saving the Order Return."
"Return for Order ID #","Return for Order ID #"
"Message has been Saved Successfully for the request.","Message has been Saved Successfully for the request."
"Something went wrong while sending message.","Something went wrong while sending message."
"The Order Return has been Completed.","The Order Return has been Completed."
"The Order Return has been Received.","The Order Return has been Received."
"Order ID not found.","Order ID not found."
"Order not found.","Order not found."
"Something went wrong while Completing the Order Return.","Something went wrong while Completing the Order Return."
"The Order Return has been Updated Successfully.","The Order Return has been Updated Successfully."
"This Order Id is not of Logged in customer.","This Order Id is not of Logged in customer."
"Customer ID in Order not found.","Customer ID in Order not found."
"Return Order already registered.","Return Order already registered."
"Please Accept Terms and Conditions to Continue.","Please Accept Terms and Conditions to Continue."
"Return Order","Return Order"
"Terms and Conditions","Terms and Conditions"
"Message has been saved.","Message has been saved."
"Return Order : #","Return Order : #"
"Return Orders","Return Orders"
"Messages","Messages"
"Admin","Admin"
"Customer","Customer"
"Note - File types allowed are pdf, doc, docx, xls, xlsx, csv, txt, jpg, jpeg, png, gif","Note - File types allowed are pdf, doc, docx, xls, xlsx, csv, txt, jpg, jpeg, png, gif"
"Submit","Submit"
"Order Return Information","Order Return Information"
"Status: ","Status: "
"Resolution: ","Resolution: "
"Created at: ","Created at: "
"Order ID: ","Order ID: "
"Reason: ","Reason: "
"Package Condition: ","Package Condition: "
"Order Status: ","Order Status: "
"Change Order Return Information","Change Order Return Information"
"Resolution: ","Resolution: "
"Save","Save"
"Items Returned","Items Returned"
"Product","Product"
"Item Status","Item Status"
"Original Price","Original Price"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Tax Amount","Tax Amount"
"Tax Percent","Tax Percent"
"Discount","Discount"
"Row Total","Row Total"
"SKU","SKU"
"Shipped","Shipped"
"Ordered","Ordered"
"Invoiced","Invoiced"
"Shipped","Shipped"
"Return","Return"
"Return Status","Return Status"
"Enter all details.","Enter all details."
"Package Condition","Package Condition"
"Reason","Reason"
"Add Message","Add Message"
"Message,Message",
"Attachment","Attachment"
"Select","Select"
"Item","Item"
"Returned Quantity","Returned Quantity"
"Subtotal","Subtotal"
"Order Return Information","Order Return Information"
"Created at: ","Created at: "
"Replied at ","Replied at "
"Download File","Download File"
"Create Order Return","Create Order Return"
"Return Order Records","Return Order Records"
"Created Date","Created Date"
"No Return Orders Found!","No Return Orders Found!"
"My Returns","My Returns"
